Name,Note ID,Notes,Description,Operator,Value,Multiple,Table Title,Table ID,Table Number,Source File,Chapter/Topic Full Path,Rule Hint
12NESD.6,-,-,Min./Max. Poly2 space to LDNMOS drain Nplus.,=,0.5,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.7,-,-,Min. Poly2 space to Source contact to (SCGS.,>=,0.22,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.7a,-,-,Min./Max. COMP enclosure Source contact on channel width direction (Top/Bottom: 1.74 um/0.1 um).,-,-,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.8,-,-,Min./Max. Poly2 space to Drain contact to (DCGS).,=,2.5,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.8a,-,-,Min./Max. COMP enclosure Drain contact on channel width direction (Top/Bottom: 0.1 um/1.74 um).,-,-,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.9a,-,-,"Min. Channel Width for each finger (""W"").",>=,10,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.9b,-,-,"Max. Channel Width for each finger (""W"").",<=,56,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.9c,-,-,Min./Max. sliced COMP width on devices width direction.,=,2,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.9d,-,-,Min./Max. sliced COMP space on devices width direction.,=,0.25,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.10,-,-,Min. total channel width to achive 2KV ESD requirement.,>=,500,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.11,-,-,Min./Max. SAB overlap Poly2.,=,0.05,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.12,-,-,Min./Max. SAB overlap drain COMP.,=,1.78,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.13,-,-,Min./Max. HVNDDD enclosure NW1A.,=,1,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.1a,-,-,20V GGNMOS used for ESD protection should be enclosed by ESD_MK and 20V_MK.,-,-,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.1b,-,-,ESD_MK min. enclose PWHV.,>=,0,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.1c,-,-,20V_MK min. enclose PWHV.,>=,0,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.2,-,-,20V GGNMOS is not allowed to share the same PWHV with other HV devices.,-,-,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.3,-,-,"Min./Max. channel length for each finger (""L"").",=,1.1,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.4,-,-,"Min./Max. HVNDDD overlap COMP (""O"").",=,0.2,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.4a,-,-,Min. HVNDDD overlap COMP on channel width direction.,>=,1,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.5,-,-,"Min./Max. Poly2 extension beyond COMP on the field towards LDNMOS drain direction (""E"").",=,1,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.6,-,-,"Min./Max. Poly2 space to LDNMOS drain COMP (""G"").",=,0.5,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.7,-,-,Min. Poly2 space to Source contact (SCGS).,>=,0.82,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.7a,-,-,Min./Max. COMP enclosure of Source contact on channel width direction (Top/Bottom: 1.74 um/0.1 um).,-,-,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.8,-,-,Min./Max. Poly2 space to Drain contact to (DCGS).,=,2.5,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.8a,-,-,Min./Max. COMP enclosure of Drain contact on channel width direction (Top/Bottom: 0.1 um/1.74 um).,-,-,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.9a,-,-,"Min. Channel Width for each finger (""W"").",>=,10,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.9b,-,-,"Max. Channel Width for each finger (""W"").",<=,56,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.9c,-,-,Min./Max. sliced COMP width on device channel width direction.,=,2,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.9d,-,-,Min./Max. sliced COMP space on device channel width direction.,=,0.25,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
20NESD.9e,-,-,Sliced drain COMP width must be coincident with sliced source COMP.,-,-,,20V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.10.195,195,fn791150811.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->20V GGNMOS Device Design Rules (20V GGNMOS),
2MT.1,-,-,"Width of MT and MT-1 (for metal line width >12 um, GLOBALFOUNDRIES will generate metal slot in the wide metal line).",>=,0.44,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.11,-,-,MT encloses TV and MT-1 encloses TV-1.,>=,0.09,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.12,"55,  58","[NOTE: Local density check is excluded for bottom layer of IND_MK & Label. Please follow Dummy Metal Generation Design Rules when drawing the Metal Dummy pattern to meet the required Metal local density rule (2MT.16 & 2MT.17).],  [NOTE: This rule is not coded in the DRC.]",Stacked via is permitted.,-,-,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.13,54,[NOTE: This rule exclude check for GUARD_RING_MK.],"More than one Via-n is required to connect metal n and metal n+1 when the metal n or metal n+1 has length > 1.8 um and width > 1.8 um, where (n = TV and TV-1).",-,-,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.14,54,[NOTE: This rule exclude check for GUARD_RING_MK.],Maximum via spacing for vias used for rule 2MT.13.,<=,1.7,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.16,55,[NOTE: Local density check is excluded for bottom layer of IND_MK & Label. Please follow Dummy Metal Generation Design Rules when drawing the Metal Dummy pattern to meet the required Metal local density rule (2MT.16 & 2MT.17).],MT and MT-1 minimum local density (%) in an area of 400 um by 400 um at a step of 200 um.,>=,20,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.16a,58,[NOTE: This rule is not coded in the DRC.],"If 2MT.16 density less than 20%, then check PMNDMY whether size greater than 15000 um2. If PMNDMY greater than 15000 um2, then two sides should not be greater than (um).",<=,80,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.17,"55,  58","[NOTE: Local density check is excluded for bottom layer of IND_MK & Label. Please follow Dummy Metal Generation Design Rules when drawing the Metal Dummy pattern to meet the required Metal local density rule (2MT.16 & 2MT.17).],  [NOTE: This rule is not coded in the DRC.]",MT and MT-1 maximum local density (%) in an area of 400 um by 400 um at a step of 200 um.,<=,80,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.18,"55,  58,  59","[NOTE: Local density check is excluded for bottom layer of IND_MK & Label. Please follow Dummy Metal Generation Design Rules when drawing the Metal Dummy pattern to meet the required Metal local density rule (2MT.16 & 2MT.17).],  [NOTE: This rule is not coded in the DRC.],  [NOTE: Predictive pattern density check will include the potential dummy or slots that have option to be generated based on GLOBALFOUNDRIES' algorithm, which is defined in Metal Slotting Rules and Dummy Metal Generation Design Rules.]",MT and MT-1 minimum predictive local density (%) in an area of 400 um by 400 um at a step of 200 um.,>=,20,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.19,"55,  58,  59","[NOTE: Local density check is excluded for bottom layer of IND_MK & Label. Please follow Dummy Metal Generation Design Rules when drawing the Metal Dummy pattern to meet the required Metal local density rule (2MT.16 & 2MT.17).],  [NOTE: This rule is not coded in the DRC.],  [NOTE: Predictive pattern density check will include the potential dummy or slots that have option to be generated based on GLOBALFOUNDRIES' algorithm, which is defined in Metal Slotting Rules and Dummy Metal Generation Design Rules.]",MT and MT-1 maximum predictive local density (%) in an area of 400 um by 400 um at a step of 200 um.,<=,80,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.20_max,-,-,Maximum MT and MT-1 density within die plus grid area. Calculations should include bond pad and grid areas.,<=,60,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.20_min,-,-,Minimum MT and MT-1 density within die plus grid area. Calculations should include bond pad and grid areas.,>=,30,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.2a,-,-,MT to MT and MT-1 to MT-1 Space.,>=,0.46,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.2b,-,-,MT to MT and MT-1 to MT-1: Space between wide (length & width > 10 um) top metal.,>=,0.6,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.3,-,-,MT and MT-1 must not be electrically floating.,-,-,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.4,-,-,MT and MT-1 minimum area (0.75 x 0.75) (um^2).,>=,0.562,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.5,-,-,MT and MT-1 density within die plus grid area must be 25%-75%. Calculations should include bond pad and grid areas.,-,-,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.6,54,[NOTE: This rule exclude check for GUARD_RING_MK.],Min./Max. of TV and TV-1 size.,==,0.36,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.7,-,-,TV to TV and TV-1 to TV-1 space.,>=,0.35,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.8,-,-,Space of a via array of size m x n where m & n >= 3 for TV and TV-1.,>=,0.54,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MT.9,"54,  55,  56,  57","[NOTE: This rule exclude check for GUARD_RING_MK.],  [NOTE: Local density check is excluded for bottom layer of IND_MK & Label. Please follow Dummy Metal Generation Design Rules when drawing the Metal Dummy pattern to meet the required Metal local density rule (2MT.16 & 2MT.17).],  [NOTE: Min./Max. means that there should be only one size.],  [NOTE: In rule 2MT.9, the orientation of a, b, c, d is not important but their order is important: a is adjacent to both b and d; b is adjacent to both a and c; c is opposite of a.]","Min. (MT-2 encloses TV -1) and (MT-1 encloses TV) by sides (a, b, c, d) [Outside Not Allowed], where a >= 0.005, b >= 0.05, c >= 0.005, d >= 0.05 (Exclude MIM capacitor).",-,-,,0.8 um MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.18.38,38,fn769384932.dita,Physical Design Rules->Baseline Layout Rules->0.8 um MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MTK.10,74,[NOTE: This rule exclude check for GUARD_RING_MK.],"If only one via, a single line of vias or a single 2x2 array is used for MT Overlap of TV on all sides.",>=,0.45,,3 um Thicker MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.23.43,43,fn369984164.dita,Physical Design Rules->Baseline Layout Rules->3 um Thicker MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MTK.11,-,-,MT overlap TV and MT-1 overlap TV-1 for m x m array on all sides where m > 3 or 2 X n (n > 2) array.,>=,0.09,,3 um Thicker MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.23.43,43,fn369984164.dita,Physical Design Rules->Baseline Layout Rules->3 um Thicker MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MTK.12,77,[NOTE: Local density check is excluded for bottom layer of MIM CAP in CAP_MK region & IND_MK & Label. Please follow Dummy Metal Generation Design Rules when drawing the Metal Dummy pattern to meet the required Metal local density rule (2MTK.15 &2 MTK.16).],Stacked via is permitted.,-,-,,3 um Thicker MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.23.43,43,fn369984164.dita,Physical Design Rules->Baseline Layout Rules->3 um Thicker MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MTK.13,74,[NOTE: This rule exclude check for GUARD_RING_MK.],2x2 or larger Via Array is required to connect MT and MT-1 when MT OR MT-1 has length > 1.8 um and width > 1.8 um.,-,-,,3 um Thicker MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.23.43,43,fn369984164.dita,Physical Design Rules->Baseline Layout Rules->3 um Thicker MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MTK.14,74,[NOTE: This rule exclude check for GUARD_RING_MK.],Maximum via spacing for vias used for rule 2MTK.13.,<=,1.7,,3 um Thicker MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.23.43,43,fn369984164.dita,Physical Design Rules->Baseline Layout Rules->3 um Thicker MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MTK.15,77,[NOTE: Local density check is excluded for bottom layer of MIM CAP in CAP_MK region & IND_MK & Label. Please follow Dummy Metal Generation Design Rules when drawing the Metal Dummy pattern to meet the required Metal local density rule (2MTK.15 &2 MTK.16).],MT and MT-1 minimum local density (%) in an area of 400 um by 400 um at a step of 200 um.,>=,20,,3 um Thicker MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.23.43,43,fn369984164.dita,Physical Design Rules->Baseline Layout Rules->3 um Thicker MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MTK.15a,-,-,"If 2MTK.15 density less than 20%, then check PMNDMY whether size greater than 15000 um2. If PMNDMY greater than 15000 um2, then two sides should not be greater than (um).",<=,80,,3 um Thicker MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.23.43,43,fn369984164.dita,Physical Design Rules->Baseline Layout Rules->3 um Thicker MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MTK.16,77,[NOTE: Local density check is excluded for bottom layer of MIM CAP in CAP_MK region & IND_MK & Label. Please follow Dummy Metal Generation Design Rules when drawing the Metal Dummy pattern to meet the required Metal local density rule (2MTK.15 &2 MTK.16).],MT and MT-1 maximum local density (%) in an area of 400 um by 400 um at a step of 200 um.,<=,80,,3 um Thicker MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.23.43,43,fn369984164.dita,Physical Design Rules->Baseline Layout Rules->3 um Thicker MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
2MTK.1a,-,-,"Width of 3 um Thicker MT (for metal line width > 30 um, GLOBALFOUNDRIES will generate metal slot in the wide metal line).",>=,1.5,,3 um Thicker MetalTop MT and TV and 0.8 um MT-1 and TV-1 Design Rules (Optional),3.23.43,43,fn369984164.dita,Physical Design Rules->Baseline Layout Rules->3 um Thicker MetalTop MT/TV and 0.8 um MT-1/TV-1 Design Rules (Optional),
