"Number","Data Layer Name","Cadence Layer Name","Cadence Layer Purpose","Layer Technology Node","Layer Status","Layer Category","Layer Sub Category","Layer Description","Design Layer","Tech Variant - Included in PDK","Customer","Layer Type","Mask Layer Sub-Type","Intermediate Layer Type","Intermediate Layer Sub-Type","GDS Number","GDS Datatype","Oasis Number","Oasis Datatype","Cadence Material Type/Qualifier","Cadence Photo Mask Color/Color State","Cadence Name OA Number","Cadence Purpose OA Number","MDP GDS Number","MDP GDS Datatype","MDP Oasis Number","MDP Oasis Datatype","MDP Layer Type","Associated Mask","Logic Definition","Layers Driving Mask Requirement","Influencing Layers","Photo Layer Short Designation","Display","Mask Number","Related LV","Extended Data Layer Name","Extended GDS Data Type","Extended GDS Number","Extended MDP GDS Data Type","Extended MDP GDS Number","Extended MDP OASIS Data Type","Extended MDP OASIS Number","Extended OASIS Data Type","Extended OASIS Number","Mask Write Boolean","Layer Specific Reference"
"LV-0000194265","RONO_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with RONO layer.","No",,,"Drawn",,,,"200","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194266","NRES","NIL","NIL","180BSL","Active","Marker Devices",,"Marking layer for N+ Poly resistor.","No",,,"Drawn",,,,"200","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194264","BuriedCavity_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with BuriedCavity.","No",,,"Drawn",,,,"199","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194263","HVPDDD_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HVPDDD layer.","No",,,"Drawn",,,,"197","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194261","PNPBase_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with PNPBase layer.","No",,,"Drawn",,,,"191","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194262","POLYCON_Label","NIL","NIL","180BSL","Active","Design Utility",,"POLYCON_Label layer.","No",,,"Drawn",,,,"194","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194267","NWHV_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with NWHV layer.","No",,,"Drawn",,,,"201","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194270","HVGATE_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HVGATE layer.","No",,,"Drawn",,,,"203","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194269","HVNDDD_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HVNDDD layer.","No",,,"Drawn",,,,"202","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194275","HVNVT_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HVNVT layer.","No",,,"Drawn",,,,"207","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194276","HVPVT_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"HVPVT_SPE layer.","No",,,"Drawn",,,,"208","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194274","MVPVT_CD","NIL","NIL","180BSL","Active","DataPrep Marker",,"MVPVT_CD layer.","No",,,"Drawn",,,,"206","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194273","MVPVT_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with MVPVT layer.","No",,,"Drawn",,,,"206","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194271","LVPWELL_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with LVPWELL layer.","No",,,"Drawn",,,,"204","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194272","MVNVT_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with MVNVT layer.","No",,,"Drawn",,,,"205","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194260","HVT_PLDD_CD","NIL","NIL","180BSL","Active","Common Design FEOL",,"HVT_PLDD_CD layer.","No",,,"Drawn",,,,"189","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194259","HVT_PLDD_Dummy","NIL","NIL","180BSL","Active","Fill",,"HVT_PLDD_Dummy layer.","No",,,"Drawn",,,,"189","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194249","OXIDE_Label","NIL","NIL","180BSL","Active","Design Utility",,"Label for OXIDE (185;39).","No",,,"Drawn",,,,"185","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194244","DVNwell_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DVNwell layer.","No",,,"Drawn",,,,"181","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194245","CellSD_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with CellSD layer.","No",,,"Drawn",,,,"182","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194250","TVIA_Label","NIL","NIL","180BSL","Active","Design Utility",,"Label for TVIA (186;39).","No",,,"Drawn",,,,"186","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194252","HVT","NIL","NIL","180BSL","Active","Common Design FEOL",,"High Vt implant.","No",,,"Drawn",,,,"187","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194251","TLIN_Label","NIL","NIL","180BSL","Active","Design Utility",,"Label for TLIN (187;39).","No",,,"Drawn",,,,"187","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194257","HVT_PLDD_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"HVT_PLDD_SPE layer.","No",,,"Drawn",,,,"189","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194258","HVT_PLDD_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HVT_PLDD layer.","No",,,"Drawn",,,,"189","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194256","HVT_NLDD_CD","NIL","NIL","180BSL","Active","Common Design FEOL",,"HVT_NLDD_CD layer.","No",,,"Drawn",,,,"188","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194255","HVT_NLDD_Dummy","NIL","NIL","180BSL","Active","Fill",,"HVT_NLDD_Dummy layer.","No",,,"Drawn",,,,"188","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194253","HVT_NLDD_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"HVT_NLDD_SPE layer.","No",,,"Drawn",,,,"188","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194254","HVT_NLDD_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HVT_NLDD layer.","No",,,"Drawn",,,,"188","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194277","HVPVT_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HVPVT layer.","No",,,"Drawn",,,,"208","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194278","HVPVT_Dummy","NIL","NIL","180BSL","Active","Fill",,"HVPVT_Dummy layer.","No",,,"Drawn",,,,"208","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194300","P_PTHROU_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with P_PTHROU layer.","No",,,"Drawn",,,,"234","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194301","MIM_ALIGN_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with MIM_ALIGN layer.","No",,,"Drawn",,,,"235","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194298","HPVT_PKT_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HPVT_PKT layer.","No",,,"Drawn",,,,"233","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194296","HNVT_PKT_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HNVT_PKT layer.","No",,,"Drawn",,,,"232","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194302","MIM_ALIGN_CD","NIL","NIL","180BSL","Active","DataPrep Marker",,"MIM_ALIGN_CD layer.","No",,,"Drawn",,,,"235","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194304","TGM_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with TGM layer.","No",,,"Drawn",,,,"237","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194303","PPWELL","NIL","NIL","180BSL","Active","Marker Devices",,"Define N-ch device (1.8V/3.3V/6V) inside DNWELL.","No",,,"Drawn",,,,"236","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194309","NO_NLDD","NIL","NIL","180BSL","Active","Design Utility",,"block N-LDD implant.","No",,,"Drawn",,,,"780","128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194310","Prime_Area_Marking","NIL","NIL","180BSL","Active","DataPrep Marker",,"Prime_Area_Marking layer.","No",,,"Drawn",,,,"1000","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194308","NDVT_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with NDVT layer.","No",,,"Drawn",,,,"247","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194307","ZERO_PSUB","NIL","NIL","180BSL","Active","Design Utility",,"Define the LV/MV outside DNWELL area which is only allowed when Psub is biased 0V.","No",,,"Drawn",,,,"246","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194306","DNPlus_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DNPlus layer.","No",,,"Drawn",,,,"242","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194295","S_Contact_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with S_Contact Layer.","No",,,"Drawn",,,,"230","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194294","DV_D","NIL","NIL","180BSL","Active","Design Utility",,"Drawn layer for thick gate oxide area in a dual voltage process.","No",,,"Drawn",,,,"228","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194283","FuseTop2_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with FuseTop2 layer.","No",,,"Drawn",,,,"215","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194284","ZST","NIL","NIL","180BSL","Active","Marker Devices",,"Logic Select transistor.","No",,,"Drawn",,,,"217","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194282","VNPN","NIL","NIL","180BSL","Active","Design Utility",,"Vertical NPN region.","No",,,"Drawn",,,,"212","148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194279","HVPVT_CD","NIL","NIL","180BSL","Active","DataPrep Marker",,"HVPVT_CD layer.","No",,,"Drawn",,,,"208","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194285","POLYFUSE_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with POLYFUSE layer.","No",,,"Drawn",,,,"220","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194287","TANRES_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with TANRES layer.","No",,,"Drawn",,,,"222","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194286","ZERO_MASK_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with ZERO_MASK.","No",,,"Drawn",,,,"221","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194292","FHRES","NIL","NIL","180BSL","Active","Common Design FEOL",,"To indicate Free HRES Poly for Layer generation. ( Both LVPLDD and MVPLDD will be implanted).","No",,,"Drawn",,,,"227","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194293","ELVT","NIL","NIL","180BSL","Active","Marker Enablement",,"Marking layer for ELVT device.","No",,,"Drawn",,,,"228","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194291","LEL_Label","NIL","NIL","180BSL","Active","Design Utility",,"Label for LEL (227,39).","No",,,"Drawn",,,,"227","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194290","DNUM_Label","NIL","NIL","180BSL","Active","Design Utility",,"Label for DNUM (226;39).","No",,,"Drawn",,,,"226","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194288","OTPGate_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with OTPGate layer.","No",,,"Drawn",,,,"225","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194243","ZENER_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with ZENER layer.","No",,,"Drawn",,,,"178","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194242","NRESI_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with NRESI layer.","No",,,"Drawn",,,,"172","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194197","TGVT_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with TGVT layer.","No",,,"Drawn",,,,"136","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194198","BVTP_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with BVTP.","No",,,"Drawn",,,,"137","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194196","BJT_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with BJT layer.","No",,,"Drawn",,,,"133","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194195","EMIPOLY_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with EMIPOLY layer.","No",,,"Drawn",,,,"132","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194193","ALPad_CD","NIL","NIL","180BSL","Active","DataPrep Marker",,"ALPad_CD layer.","No",,,"Drawn",,,,"130","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194194","SIC_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with SIC layer.","No",,,"Drawn",,,,"131","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194199","FuseBot_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with FuseBot layer.","No",,,"Drawn",,,,"138","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194201","FuseBot_CD","NIL","NIL","180BSL","Active","DataPrep Marker",,"FuseBot_CD layer.","No",,,"Drawn",,,,"138","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194200","FuseBot_Dummy","NIL","NIL","180BSL","Active","Fill",,"FuseBot Dummy fill.","No",,,"Drawn",,,,"138","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194206","ZVT_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with ZVT layer.","No",,,"Drawn",,,,"141","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194207","AntiFuse_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with AntiFuse layer.","No",,,"Drawn",,,,"142","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194205","Via7_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with Via7 layer.","No",,,"Drawn",,,,"140","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194204","Metal8_Dummy","NIL","NIL","180BSL","Active","Fill",,"Metal 8 Dummy Fill.","No",,,"Drawn",,,,"139","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194202","Metal8_Slot","NIL","NIL","180BSL","Active","Design Utility",,"Metal8 slot.","No",,,"Drawn",,,,"139","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194203","Metal8_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with Metal8 layer.","No",,,"Drawn",,,,"139","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194192","ALPad_Dummy","NIL","NIL","180BSL","Active","Fill",,"ALPad_Dummy layer.","No",,,"Drawn",,,,"130","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194191","ALPad_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with ALPad layer.","No",,,"Drawn",,,,"130","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194178","Emitter_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with Emitter layer.","No",,,"Drawn",,,,"124","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194180","Cwell_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with Cwell layer.","No",,,"Drawn",,,,"125","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
