"Number","Data Layer Name","Cadence Layer Name","Cadence Layer Purpose","Layer Technology Node","Layer Status","Layer Category","Layer Sub Category","Layer Description","Design Layer","Tech Variant - Included in PDK","Customer","Layer Type","Mask Layer Sub-Type","Intermediate Layer Type","Intermediate Layer Sub-Type","GDS Number","GDS Datatype","Oasis Number","Oasis Datatype","Cadence Material Type/Qualifier","Cadence Photo Mask Color/Color State","Cadence Name OA Number","Cadence Purpose OA Number","MDP GDS Number","MDP GDS Datatype","MDP Oasis Number","MDP Oasis Datatype","MDP Layer Type","Associated Mask","Logic Definition","Layers Driving Mask Requirement","Influencing Layers","Photo Layer Short Designation","Display","Mask Number","Related LV","Extended Data Layer Name","Extended GDS Data Type","Extended GDS Number","Extended MDP GDS Data Type","Extended MDP GDS Number","Extended MDP OASIS Data Type","Extended MDP OASIS Number","Extended OASIS Data Type","Extended OASIS Number","Mask Write Boolean","Layer Specific Reference"
"LV-0000106933","HVGATE_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HVGATE layer.","No",,,"Drawn",,,,"203","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106944","FuseTop_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer FuseTop_NBNOPC.","No",,,"Drawn",,,,"75","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106943","FuseWindow_D","NIL","NIL","130G-LP","Active","Design Utility",,"Drawn layer for Metal Fuse window.","No",,,"Drawn",,,,"96","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106954","ESD_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with ESD layer.","No",,,"Drawn",,,,"24","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106953","FHRES","NIL","NIL","130G-LP","Active","Common Design FEOL",,"To indicate Free HRES Poly for Layer generation. ( Both LVPLDD and MVPLDD will be implanted).","No",,,"Drawn",,,,"227","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106956","EDMOS_TOPOX_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Label for EDMOS_TOPOX mask (155;39).","No",,,"Drawn",,,,"155","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106955","EEHV","NIL","NIL","130G-LP","Active","Design Utility",,"For EEPROM.","No",,,"Drawn",,,,"54","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106952","FuseBot_CD","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer FuseBot_CD.","No",,,"Drawn",,,,"138","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106957","EDMOS_RECESS_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Label for EDMOS_RECESS mask (156;39).","No",,,"Drawn",,,,"156","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106950","FuseBot_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with FuseBot layer.","No",,,"Drawn",,,,"138","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106951","FuseBot_Dummy","NIL","NIL","130G-LP","Active","Fill",,"FuseBot Dummy fill.","No",,,"Drawn",,,,"138","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106946","FuseTop_Dummy","NIL","NIL","130G-LP","Active","Fill",,"FuseTop Dummy Fill.","No",,,"Drawn",,,,"75","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106945","FuseTop_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with FuseTop layer.","No",,,"Drawn",,,,"75","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106948","FuseTop2_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with FuseTop2 layer.","No",,,"Drawn",,,,"215","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106947","FuseTop_CD","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer FuseTop_CD.","No",,,"Drawn",,,,"75","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106990","DV2_CD","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer DV2_CD.","No",,,"Drawn",,,,"144","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106949","FuseBot_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer FuseBot_NBNOPC.","No",,,"Drawn",,,,"138","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106992","DNWELL_SPE","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer DNWELL_SPE.","No",,,"Drawn",,,,"12","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106991","DRIFT_Label","NIL","NIL","130G-LP","Active","Design Utility",,"(91,39) Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DRIFT layer.","No",,,"Drawn",,,,"91","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107034","CAP_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with CAP layer.","No",,,"Drawn",,,,"29","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107033","CAP_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer CAP_NBNOPC.","No",,,"Drawn",,,,"29","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107036","CAD_BJT_SYMBOL","NIL","NIL","130G-LP","Active","Design Utility",,"BJT symbol, for LDD Block (7_0.153_CE, MTK input, 82;0).","No",,,"Drawn",,,,"150","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107035","CAPIMP","NIL","NIL","130G-LP","Active","Common Design FEOL",,"Special IMP area.","No",,,"Drawn",,,,"42","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107037","BuriedPP","NIL","NIL","130G-LP","Active","Common Design FEOL",,"For Isolated High voltage NMOS (pocket Pwell).","No",,,"Drawn",,,,"121","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107030","CELLSAB","NIL","NIL","130G-LP","Active","Design Utility",,"Extra SAB area.","No",,,"Drawn",,,,"43","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107031","CELLOD2","NIL","NIL","130G-LP","Active","Design Utility",,"Special Dualgate area.","No",,,"Drawn",,,,"44","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107026","COMP_CD","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer COMP_CD.","No",,,"Drawn",,,,"22","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107028","CMTCORE0","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer CMTCORE0.","No",,,"Drawn",,,,"40","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107027","CMTCORE1","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer CMTCORE1.","No",,,"Drawn",,,,"41","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107038","BuriedCavity_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with BuriedCavity.","No",,,"Drawn",,,,"199","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107029","CFPOLY","NIL","NIL","130G-LP","Active","Design Utility",,"Contact floating polysilicon.","No",,,"Drawn",,,,"48","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107040","BVTP_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters  that do not require any logical operation/OPC, will be merged with BVTP.","No",,,"Drawn",,,,"137","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107039","BuriedCavity_Dummy","NIL","NIL","130G-LP","Active","Fill",,"Drawn BuriedCavity Dummy Fill.","No",,,"Drawn",,,,"73","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107050","BC","NIL","NIL","130G-LP","Active","Design Utility",,"Placed on standard body contact FETs. Used for design rule checking.","No",,,"Drawn",,,,"6","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107049","BI_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Layer BI_Label.","No",,,"Drawn",,,,"90","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107052","AV_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with AV layer.","No",,,"Drawn",,,,"14","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107051","AntiFuse_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with AntiFuse layer.","No",,,"Drawn",,,,"142","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107048","BJT_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters  that do not require any logical operation/OPC, will be merged with BJT layer.","No",,,"Drawn",,,,"133","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107046","BN_Dummy","NIL","NIL","130G-LP","Active","Fill",,"Layer BN_Dummy.","No",,,"Drawn",,,,"11","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107047","BN_CD","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer BN_CD.","No",,,"Drawn",,,,"11","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107042","BURIEDGRD_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Layer BURIEDGRD_Label.","No",,,"Drawn",,,,"63","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107041","BURIEDGRS_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Layer BURIEDGRS_Label.","No",,,"Drawn",,,,"64","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107044","BN_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer BN_NBNOPC.","No",,,"Drawn",,,,"11","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107043","BN_SPE","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer BN_SPE.","No",,,"Drawn",,,,"11","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107045","BN_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with BN layer.","No",,,"Drawn",,,,"11","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107022","COMP_SPE","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer COMP_SPE.","No",,,"Drawn",,,,"22","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106605","Metal2_CD","NIL","NIL","130G-LP","Active","Common Design BEOL",,"Layer Metal2_CD.","No",,,"Drawn",,,,"36","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106607","Metal1_SPE","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer Metal1_SPE.","No",,,"Drawn",,,,"34","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106608","Metal1_OPC_dg","NIL","NIL","130G-LP","Active","OPC",,"Drawn Metal1 OPC.","No",,,"Drawn",,,,"34","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106601","Metal2_SPE","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer Metal2_SPE.","No",,,"Drawn",,,,"36","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106602","Metal2_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer Metal2_NBNOPC.","No",,,"Drawn",,,,"36","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106596","Metal3_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer Metal3_NBNOPC.","No",,,"Drawn",,,,"42","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106595","Metal3_SPE","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer Metal3_SPE.","No",,,"Drawn",,,,"42","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106599","Metal3_CD","NIL","NIL","130G-LP","Active","Common Design BEOL",,"Layer Metal3_CD.","No",,,"Drawn",,,,"42","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106609","Metal1_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer Metal1_NBNOPC.","No",,,"Drawn",,,,"34","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106620","MVNDMY","NIL","NIL","130G-LP","Active","Design Utility",,"IO_NLDD Draw-in layer for HV Device (7_0.153_CE, MTK input, 180;204).","No",,,"Drawn",,,,"180","204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106623","MIM_ALIGN_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer MIM_ALIGN_NBNOPC.","No",,,"Drawn",,,,"235","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106619","MVNVT_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with MVNVT layer.","No",,,"Drawn",,,,"205","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106624","MIM_ALIGN_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with MIM_ALIGN layer.","No",,,"Drawn",,,,"235","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106618","MVNVT_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer MVNVT_NBNOPC.","No",,,"Drawn",,,,"205","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106612","Metal1_CD","NIL","NIL","130G-LP","Active","Common Design BEOL",,"Layer Metal1_CD.","No",,,"Drawn",,,,"34","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106615","MVPVT_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with MVPVT layer.","No",,,"Drawn",,,,"206","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106614","MVPVT_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer MVPVT_NBNOPC.","No",,,"Drawn",,,,"206","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106616","MVPVT_CD","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer MVPVT_CD.","No",,,"Drawn",,,,"206","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106593","Metal4_CD","NIL","NIL","130G-LP","Active","Common Design BEOL",,"Layer Metal4_CD.","No",,,"Drawn",,,,"46","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106572","MetalRDL_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with MetalRDL layer.","No",,,"Drawn",,,,"171","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106571","MetalTop_CD","NIL","NIL","130G-LP","Active","Common Design BEOL",,"Layer MetalTop_CD.","No",,,"Drawn",,,,"53","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
